Id,Name,Stage Name,Amount,Probability,Expected Revenue,Type,Lead Source,Forecast Category,Opportunity Source,CloseDate,Status,Created Date
0068d000009MWKBAA4,Opportunity for Newman1387,Closed Won,2451210,1,2451210,Existing Business,Seminar - Internal,Closed,Marketing,5/30/2028,Won,5/30/2022
0068d000009MWKCAA4,Opportunity for Boone1390,Closed Won,69240,1,69240,New Business,Web,Closed,Marketing,7/29/2029,Won,7/29/2023
0068d000009MWKEAA4,Opportunity for Sanders1392,Closed Won,196890,1,196890,New Business / Add-on,Advertisement,Closed,Marketing,7/7/2029,Won,7/7/2023
0068d000009MWKFAA4,Opportunity for Maldonado1393,Closed Won,739550,1,739550,New Business,Employee Referral,Closed,AE,11/29/2028,Won,11/29/2022
0068d000009MWKHAA4,Opportunity for Moran1395,Closed Won,234500,1,234500,Existing Business,Word of mouth,Closed,BDR,6/8/2028,Won,6/8/2022
0068d000009MWKIAA4,Opportunity for Robinson1397,Closed Won,33600,1,33600,New Business,Employee Referral,Closed,AE,11/9/2028,Won,11/9/2022
0068d000009MWKJAA4,Opportunity for Salazar1398,Closed Won,555200,1,555200,New Business / Add-on,Word of mouth,Closed,BDR,5/19/2029,Won,5/19/2023
0068d000009MWKKAA4,Opportunity for Kelly1755,Closed Won,197075,1,197075,New Business / Add-on,Trade Show,Closed,BDR,5/27/2029,Won,5/27/2023
0068d000009MWKLAA4,Opportunity for Buchanan1756,Closed Lost,76532,0,0,New Business,Word of mouth,Omitted,Alliances,6/30/2029,Lost,6/30/2023
0068d000009MWKMAA4,Opportunity for McGee1757,Proposal/Price Quote,360800,0.75,270600,New Business / Add-on,Partner,BestCase,AE,8/26/2029,Open,8/26/2023
0068d000009MWKNAA4,Opportunity for Nguyen1759,Closed Lost,1324800,0,0,New Business / Add-on,Partner,Omitted,BDR,5/20/2029,Lost,5/20/2023
0068d000009MWKOAA4,Opportunity for Luna1760,Closed Won,89400,1,89400,New Business / Add-on,Employee Referral,Closed,AE,10/24/2028,Won,10/24/2022
0068d000009MWKPAA4,Opportunity for Sanders1761,Qualification,1049880,0.1,104988,New Business,Partner,Pipeline,BDR,9/7/2029,Open,9/7/2023
0068d000009MWKRAA4,Opportunity for Zimmerman1763,Qualification,4747520,0.1,474752,New Business,Public Relations,Pipeline,AE,10/19/2029,Open,10/19/2023
0068d000009MWKSAA4,Opportunity for Barton1764,Value Proposition,3209120,0.5,1604560,New Business,Partner,Pipeline,BDR,12/27/2029,Open,12/27/2023
0068d000009MWKaAAO,Opportunity for Byrd640,Closed Won,499928,1,499928,New Business,Web,Closed,AE,2/21/2029,Won,2/21/2023
0068d000009MWKbAAO,Opportunity for Carson641,Closed Won,376955,1,376955,Existing Business,Advertisement,Closed,AE,1/26/2029,Won,1/26/2023
0068d000009MWKcAAO,Opportunity for Figueroa642,Needs Analysis,701400,0.2,140280,New Business,Seminar - Internal,Pipeline,Marketing,9/8/2029,Open,9/8/2023
0068d000009MWKdAAO,Opportunity for Jensen643,Closed Won,898800,1,898800,New Business,Seminar - Internal,Closed,Alliances,11/20/2028,Won,11/20/2022
0068d000009MWKeAAO,Opportunity for Frazier644,Qualification,1528750,0.1,152875,New Business / Add-on,Advertisement,Pipeline,BDR,10/1/2029,Open,10/1/2023
0068d000009MWKfAAO,Opportunity for Barrett645,Closed Lost,2221650,0,0,New Business / Add-on,Employee Referral,Omitted,Marketing,5/28/2029,Lost,5/28/2023
0068d000009MWKgAAO,Opportunity for Bowen646,Needs Analysis,1158700,0.2,231740,New Business,Trade Show,Pipeline,AE,9/10/2029,Open,9/10/2023
0068d000009MWKiAAO,Opportunity for Ruiz650,Closed Won,209640,1,209640,New Business / Add-on,Trade Show,Closed,Marketing,7/18/2029,Won,7/18/2023
0068d000009MWKjAAO,Opportunity for Blair652,Closed Won,965425,1,965425,New Business / Add-on,Public Relations,Closed,AE,10/10/2028,Won,10/10/2022
0068d000009MW85AAG,Opportunity for Cunningham175,Closed Won,4357300,1,4357300,New Business / Add-on,Seminar - Internal,Closed,Marketing,2/23/2029,Won,2/23/2023
0068d000009MW86AAG,Opportunity for Bush283,Proposal/Price Quote,4067300,0.75,3050475,New Business,Web,BestCase,Alliances,10/1/2029,Open,10/1/2023
0068d000009MW87AAG,Opportunity for Pearson288,Closed Won,1790440,1,1790440,New Business,Employee Referral,Closed,AE,4/29/2029,Won,4/29/2023
0068d000009MW88AAG,Opportunity for Higgins293,Negotiation/Review,3306425,0.9,2975782.5,Existing Business,Web,Forecast,BDR,9/10/2029,Open,9/10/2023
0068d000009MW89AAG,Opportunity for Armstrong296,Closed Won,236040,1,236040,New Business,Employee Referral,Closed,BDR,11/27/2028,Won,11/27/2022
0068d000009MW8AAAW,Opportunity for Francis298,Perception Analysis,219000,0.7,153300,New Business / Add-on,Employee Referral,BestCase,AE,10/12/2029,Open,10/12/2023
0068d000009MW8BAAW,Opportunity for McBride299,Value Proposition,567000,0.5,283500,New Business,Employee Referral,Pipeline,AE,9/19/2029,Open,9/19/2023
0068d000009MW8CAAW,Opportunity for Miller300,Closed Won,2303500,1,2303500,New Business,Public Relations,Closed,BDR,4/17/2029,Won,4/17/2023
0068d000009MW8DAAW,Opportunity for Cross303,Perception Analysis,2086050,0.7,1460235,New Business,Public Relations,BestCase,AE,9/17/2029,Open,9/17/2023
0068d000009MW8FAAW,Opportunity for Figueroa377,Perception Analysis,5839810,0.7,4087867,New Business / Add-on,Word of mouth,BestCase,Marketing,9/1/2029,Open,9/1/2023
0068d000009MWH5AAO,Opportunity for McCoy901,Closed Won,2132690,1,2132690,New Business,Advertisement,Closed,AE,8/28/2028,Won,8/28/2022
0068d000009MWHDAA4,Opportunity for West913,Closed Won,1418640,1,1418640,New Business,Advertisement,Closed,AE,6/19/2028,Won,6/19/2022
0068d000009MWHEAA4,Opportunity for Armstrong916,Closed Lost,237283,0,0,New Business / Add-on,Web,Omitted,Marketing,5/25/2029,Lost,5/25/2023
0068d000009MWH6AAO,Opportunity for Black902,Closed Won,340500,1,340500,New Business,Public Relations,Closed,Marketing,5/9/2029,Won,5/9/2023
0068d000009MWH7AAO,Opportunity for Morales903,Closed Won,2317340,1,2317340,New Business / Add-on,Employee Referral,Closed,Marketing,6/14/2029,Won,6/14/2023
0068d000009MWH8AAO,Opportunity for Doyle904,Closed Won,94283,1,94283,New Business,Trade Show,Closed,Marketing,7/11/2029,Won,7/11/2023
0068d000009MWH9AAO,Opportunity for Williamson906,Closed Won,2449675,1,2449675,New Business / Add-on,Web,Closed,Alliances,6/9/2029,Won,6/9/2023
0068d000009MWHAAA4,Opportunity for Black908,Closed Won,165000,1,165000,New Business,Word of mouth,Closed,Marketing,5/10/2029,Won,5/10/2023
0068d000009MWHBAA4,Opportunity for Brady910,Closed Won,1355700,1,1355700,New Business / Add-on,Web,Closed,BDR,2/3/2029,Won,2/3/2023
0068d000009MWHCAA4,Opportunity for Evans911,Value Proposition,185630,0.5,92815,New Business,Trade Show,Pipeline,Alliances,8/27/2029,Open,8/27/2023
0068d000009MWKUAA4,Opportunity for Ramirez1767,Closed Won,3440,1,3440,New Business,Public Relations,Closed,Marketing,7/24/2029,Won,7/24/2023
0068d000009MWKVAA4,Opportunity for James1768,Closed Won,1386250,1,1386250,New Business / Add-on,Word of mouth,Closed,AE,9/10/2028,Won,9/10/2022
0068d000009MWKYAA4,Opportunity for Abbott636,Closed Won,121490,1,121490,New Business,Word of mouth,Closed,BDR,4/9/2029,Won,4/9/2023
0068d000009MWKZAA4,Opportunity for Jefferson638,Closed Won,719960,1,719960,New Business / Add-on,Trade Show,Closed,BDR,4/20/2029,Won,4/20/2023
0068d000009MWKlAAO,Opportunity for Bridges657,Qualification,1314400,0.1,131440,New Business,Trade Show,Pipeline,BDR,8/24/2029,Open,8/24/2023
0068d000009MWKvAAO,Opportunity for Ortiz1039,Closed Won,128265,1,128265,New Business,Word of mouth,Closed,BDR,4/22/2029,Won,4/22/2023
0068d000009MWKnAAO,Opportunity for Willis1022,Closed Won,296805,1,296805,Existing Business,Partner,Closed,AE,7/27/2029,Won,7/27/2023
0068d000009MWKwAAO,Opportunity for Lopez1040,Closed Won,79550,1,79550,Existing Business,Word of mouth,Closed,Marketing,8/30/2028,Won,8/30/2022
0068d000009MWKxAAO,Opportunity for Houston1041,Closed Won,3513380,1,3513380,New Business,Partner,Closed,BDR,5/20/2029,Won,5/20/2023
0068d000009MWKqAAO,Opportunity for Santiago1026,Closed Won,2288250,1,2288250,New Business / Add-on,Partner,Closed,Marketing,4/7/2029,Won,4/7/2023
0068d000009MWKzAAO,Opportunity for Gutierrez1402,Closed Won,96977,1,96977,New Business / Add-on,Trade Show,Closed,Marketing,5/13/2029,Won,5/13/2023
0068d000009MWKsAAO,Opportunity for Walton1035,Closed Won,2550000,1,2550000,New Business,Employee Referral,Closed,Marketing,10/29/2028,Won,10/29/2022
0068d000009MWL1AAO,Opportunity for Dixon1405,Qualification,644000,0.1,64400,New Business,Advertisement,Pipeline,Marketing,11/7/2029,Open,11/7/2023
0068d000009MWKtAAO,Opportunity for Mendez1036,Closed Won,459280,1,459280,New Business / Add-on,Trade Show,Closed,Marketing,2/6/2029,Won,2/6/2023
0068d000009MWL2AAO,Opportunity for Cobb1406,Qualification,802000,0.1,80200,New Business,Web,Pipeline,BDR,11/4/2029,Open,11/4/2023
0068d000009MWL3AAO,Opportunity for Graves1407,Closed Lost,1423890,0,0,New Business,Seminar - Internal,Omitted,AE,11/4/2028,Lost,11/4/2022
0068d000009MWLTAA4,Opportunity for Brown672,Closed Won,2684465,1,2684465,Existing Business,Employee Referral,Closed,Alliances,3/5/2029,Won,3/5/2023
0068d000009MWLUAA4,Opportunity for Barton675,Closed Won,105210,1,105210,New Business / Add-on,Web,Closed,Marketing,12/9/2028,Won,12/9/2022
0068d000009MWLVAA4,Opportunity for Duncan681,Closed Won,63600,1,63600,New Business,Word of mouth,Closed,BDR,9/8/2028,Won,9/8/2022
0068d000009MWLWAA4,Opportunity for Manning1045,Closed Won,16843,1,16843,New Business / Add-on,Trade Show,Closed,Marketing,8/7/2028,Won,8/7/2022
0068d000009MWLXAA4,Opportunity for Colon1047,Value Proposition,680,0.5,340,New Business / Add-on,Web,Pipeline,Alliances,8/29/2029,Open,8/29/2023
0068d000009MWLaAAO,Opportunity for McKenzie1054,Closed Won,1224345,1,1224345,Existing Business,Partner,Closed,BDR,4/16/2029,Won,4/16/2023
0068d000009MWLbAAO,Opportunity for Webb1055,Closed Lost,1264240,0,0,New Business / Add-on,Partner,Omitted,BDR,9/18/2028,Lost,9/18/2022
0068d000009MWLcAAO,Opportunity for Hart1061,Closed Won,258140,1,258140,New Business,Web,Closed,AE,6/24/2028,Won,6/24/2022
0068d000009MWLdAAO,Opportunity for Vega1066,Perception Analysis,201572,0.7,141100.4,New Business / Add-on,Partner,BestCase,Alliances,9/9/2029,Open,9/9/2023
0068d000009MWAPAA4,Opportunity for Jacobs1464,Prospecting,5198280,0.1,519828,New Business,Advertisement,Pipeline,AE,8/24/2029,Open,8/24/2023
0068d000009MWAQAA4,Opportunity for Walton1466,Closed Lost,558860,0,0,New Business / Add-on,Public Relations,Omitted,AE,11/1/2028,Lost,11/1/2022
0068d000009MWARAA4,Opportunity for Lee1827,Needs Analysis,15760,0.2,3152,New Business,Advertisement,Pipeline,AE,9/12/2029,Open,9/12/2023
0068d000009MWATAA4,Opportunity for Clarke1831,Closed Won,359939,1,359939,New Business,Employee Referral,Closed,Marketing,8/23/2028,Won,8/23/2022
0068d000009MWAUAA4,Opportunity for Cross1834,Qualification,1756800,0.1,175680,New Business / Add-on,Partner,Pipeline,Alliances,1/31/2030,Open,1/31/2022
0068d000009MWAVAA4,Opportunity for McGee1836,Closed Won,110986,1,110986,New Business / Add-on,Word of mouth,Closed,BDR,7/19/2029,Won,7/19/2023
0068d000009MWAWAA4,Opportunity for Ramirez1837,Qualification,179964,0.1,17996.4,New Business,Word of mouth,Pipeline,Alliances,3/8/2030,Open,3/8/2022
0068d000009MWAYAA4,Opportunity for Lawson1843,Closed Won,1876750,1,1876750,New Business,Employee Referral,Closed,BDR,7/27/2029,Won,7/27/2023
0068d000009MWAZAA4,Opportunity for Medina1844,Value Proposition,3570200,0.5,1785100,Existing Business,Employee Referral,Pipeline,AE,9/4/2029,Open,9/4/2023
0068d000009MWAbAAO,Opportunity for Roberts1847,Closed Won,1096500,1,1096500,New Business,Word of mouth,Closed,BDR,3/11/2029,Won,3/11/2023
0068d000009MWAdAAO,Opportunity for Ramos1851,Closed Won,388890,1,388890,Existing Business,Advertisement,Closed,Marketing,2/22/2029,Won,2/22/2023
0068d000009MWAeAAO,Opportunity for Adams708,Negotiation/Review,1269390,0.9,1142451,New Business,Partner,Forecast,Marketing,9/16/2029,Open,9/16/2023
0068d000009MWAfAAO,Opportunity for Luna711,Value Proposition,281700,0.5,140850,New Business,Word of mouth,Pipeline,BDR,9/3/2029,Open,9/3/2023
0068d000009MWAgAAO,Opportunity for Morgan713,Prospecting,2717500,0.1,271750,Existing Business,Advertisement,Pipeline,AE,12/28/2029,Open,12/28/2023
0068d000009MWAhAAO,Opportunity for Massey714,Closed Won,559580,1,559580,New Business,Web,Closed,Marketing,8/18/2029,Won,8/18/2023
0068d000009MWCPAA4,Opportunity for Hoffman774,Closed Won,152400,1,152400,New Business,Trade Show,Closed,BDR,3/3/2029,Won,3/3/2023
0068d000009MWCRAA4,Opportunity for Waters780,Closed Won,902400,1,902400,Existing Business,Word of mouth,Closed,BDR,1/30/2029,Won,1/30/2023
0068d000009MWCSAA4,Opportunity for Robbins1143,Qualification,365072,0.1,36507.2,New Business,Advertisement,Pipeline,Marketing,2/1/2030,Open,2/1/2022
0068d000009MWCVAA4,Opportunity for Beck1148,Closed Won,52440,1,52440,New Business / Add-on,Word of mouth,Closed,BDR,5/29/2029,Won,5/29/2023
0068d000009MWCWAA4,Opportunity for Poole1149,Closed Won,205489,1,205489,New Business,Trade Show,Closed,AE,12/26/2028,Won,12/26/2022
0068d000009MWCZAA4,Opportunity for Santos1154,Closed Lost,1153670,0,0,New Business,Employee Referral,Omitted,AE,4/4/2029,Lost,4/4/2023
0068d000009MWCaAAO,Opportunity for Lewis1160,Closed Won,1132470,1,1132470,New Business / Add-on,Word of mouth,Closed,Marketing,7/26/2029,Won,7/26/2023
0068d000009MWCbAAO,Opportunity for Allen1162,Closed Won,1032800,1,1032800,Existing Business,Web,Closed,Marketing,6/13/2029,Won,6/13/2023
0068d000009MWCdAAO,Opportunity for Lloyd1165,Value Proposition,439380,0.5,219690,New Business / Add-on,Employee Referral,Pipeline,Marketing,8/23/2029,Open,8/23/2023
0068d000009MWCeAAO,Opportunity for Campbell1166,Closed Lost,1459175,0,0,New Business / Add-on,Employee Referral,Omitted,AE,5/16/2029,Lost,5/16/2023
0068d000009MWCfAAO,Opportunity for Gill1167,Closed Lost,313200,0,0,New Business,Word of mouth,Omitted,AE,7/28/2029,Lost,7/28/2023
0068d000009MWCgAAO,Opportunity for Gross1521,Closed Won,3263870,1,3263870,New Business / Add-on,Employee Referral,Closed,AE,3/10/2029,Won,3/10/2023
0068d000009MWHFAA4,Opportunity for Swanson1282,Closed Won,70680,1,70680,New Business,Seminar - Internal,Closed,Marketing,12/30/2028,Won,12/30/2022
0068d000009MWHHAA4,Opportunity for Bowers1284,Closed Won,229470,1,229470,Existing Business,Web,Closed,BDR,4/25/2029,Won,4/25/2023
0068d000009MWHIAA4,Opportunity for Park1288,Closed Won,107040,1,107040,New Business / Add-on,Public Relations,Closed,Alliances,3/31/2029,Won,3/31/2023
0068d000009MWHJAA4,Opportunity for Stevenson1289,Closed Won,1640210,1,1640210,New Business,Word of mouth,Closed,BDR,2/7/2029,Won,2/7/2023
0068d000009MWHMAA4,Opportunity for Ball1294,Closed Won,27800,1,27800,Existing Business,Partner,Closed,Alliances,6/6/2028,Won,6/6/2022
0068d000009MWHNAA4,Opportunity for Colon1295,Closed Won,667200,1,667200,Existing Business,Public Relations,Closed,AE,7/2/2029,Won,7/2/2023
0068d000009MWHOAA4,Opportunity for Flores1296,Closed Won,2325850,1,2325850,Existing Business,Public Relations,Closed,Alliances,6/24/2029,Won,6/24/2023
0068d000009MWHPAA4,Opportunity for Baldwin1297,Closed Won,638750,1,638750,New Business / Add-on,Trade Show,Closed,AE,9/1/2028,Won,9/1/2022
0068d000009MWHQAA4,Opportunity for Clark1301,Closed Won,116360,1,116360,New Business / Add-on,Seminar - Internal,Closed,BDR,9/21/2028,Won,9/21/2022
0068d000009MWHRAA4,Opportunity for Frank1303,Closed Won,1886550,1,1886550,New Business,Partner,Closed,Marketing,7/27/2028,Won,7/27/2022
0068d000009MWHSAA4,Opportunity for Baker1304,Qualification,1918900,0.1,191890,New Business / Add-on,Seminar - Internal,Pipeline,AE,2/28/2030,Open,2/28/2022
0068d000009MWHTAA4,Opportunity for Santos1305,Proposal/Price Quote,14640,0.75,10980,New Business,Partner,BestCase,BDR,9/12/2029,Open,9/12/2023
0068d000009MWHVAA4,Opportunity for Nguyen1657,Closed Won,236610,1,236610,New Business,Web,Closed,Marketing,1/16/2029,Won,1/16/2023
0068d000009MWL8AAO,Opportunity for Hart1416,Closed Won,3960970,1,3960970,New Business / Add-on,Advertisement,Closed,AE,1/21/2029,Won,1/21/2023
0068d000009MWL9AAO,Opportunity for Martin1417,Closed Won,3712300,1,3712300,New Business,Advertisement,Closed,BDR,4/7/2029,Won,4/7/2023
0068d000009MWLAAA4,Opportunity for Dawson1421,Closed Won,18900,1,18900,New Business / Add-on,Word of mouth,Closed,BDR,9/23/2028,Won,9/23/2022
0068d000009MWLBAA4,Opportunity for Hines1779,Closed Won,1241900,1,1241900,Existing Business,Web,Closed,Marketing,2/22/2029,Won,2/22/2023
0068d000009MWLCAA4,Opportunity for Morrison1784,Closed Won,343000,1,343000,New Business / Add-on,Web,Closed,BDR,7/21/2029,Won,7/21/2023
0068d000009MWLDAA4,Opportunity for Paul1791,Closed Won,424600,1,424600,New Business,Advertisement,Closed,Marketing,6/25/2029,Won,6/25/2023
0068d000009MWLEAA4,Opportunity for Andrews1792,Needs Analysis,1488450,0.2,297690,New Business / Add-on,Public Relations,Pipeline,Alliances,12/7/2029,Open,12/7/2023
0068d000009MWLFAA4,Opportunity for Guzman1793,Qualification,136800,0.1,13680,New Business / Add-on,Web,Pipeline,AE,12/10/2029,Open,12/10/2023
0068d000009MWLGAA4,Opportunity for Watson1794,Qualification,991350,0.1,99135,New Business / Add-on,Public Relations,Pipeline,AE,11/26/2029,Open,11/26/2023
0068d000009MWLHAA4,Opportunity for Massey1797,Closed Won,1683185,1,1683185,New Business / Add-on,Word of mouth,Closed,Marketing,5/13/2029,Won,5/13/2023
0068d000009MWLIAA4,Opportunity for Nelson1799,Closed Won,875880,1,875880,Existing Business,Web,Closed,Marketing,2/15/2029,Won,2/15/2023
0068d000009MWLJAA4,Opportunity for Pena1800,Closed Won,54090,1,54090,New Business,Employee Referral,Closed,AE,9/9/2028,Won,9/9/2022
0068d000009MWLKAA4,Opportunity for Pittman658,Closed Won,252545,1,252545,Existing Business,Employee Referral,Closed,AE,10/23/2028,Won,10/23/2022
0068d000009MWLNAA4,Opportunity for Cunningham662,Proposal/Price Quote,25450,0.75,19087.5,New Business,Trade Show,BestCase,AE,1/16/2030,Open,1/16/2022
0068d000009MWL5AAO,Opportunity for Maxwell1410,Closed Lost,2183750,0,0,New Business,Employee Referral,Omitted,BDR,5/5/2029,Lost,5/5/2023
0068d000009MWLnAAO,Opportunity for Conner1442,Closed Lost,449660,0,0,Existing Business,Employee Referral,Omitted,AE,1/24/2029,Lost,1/24/2023
0068d000009MWLgAAO,Opportunity for Love1426,Closed Lost,2649820,0,0,New Business,Trade Show,Omitted,AE,2/10/2029,Lost,2/10/2023
0068d000009MWLoAAO,Opportunity for Robbins1443,Closed Lost,968870,0,0,New Business,Employee Referral,Omitted,AE,12/19/2028,Lost,12/19/2022
0068d000009MWLhAAO,Opportunity for Flowers1427,Needs Analysis,1979000,0.2,395800,New Business / Add-on,Trade Show,Pipeline,Alliances,2/24/2030,Open,2/24/2022
0068d000009MWLpAAO,Opportunity for Berry1447,Closed Won,470298,1,470298,New Business,Advertisement,Closed,Marketing,5/20/2029,Won,5/20/2023
0068d000009MWLjAAO,Opportunity for Keller1431,Needs Analysis,2894390,0.2,578878,New Business,Trade Show,Pipeline,Alliances,9/13/2029,Open,9/13/2023
0068d000009MWLrAAO,Opportunity for Marsh1806,Closed Won,58840,1,58840,New Business / Add-on,Partner,Closed,BDR,7/9/2029,Won,7/9/2023
0068d000009MWLkAAO,Opportunity for Allison1432,Closed Lost,1471800,0,0,New Business,Employee Referral,Omitted,Marketing,7/31/2029,Lost,7/31/2023
0068d000009MWLsAAO,Opportunity for Dunn1807,Closed Won,225083,1,225083,New Business / Add-on,Public Relations,Closed,AE,1/12/2029,Won,1/12/2023
0068d000009MWLlAAO,Opportunity for Dixon1438,Closed Won,209955,1,209955,New Business,Web,Closed,AE,5/11/2029,Won,5/11/2023
0068d000009MWLmAAO,Opportunity for Chandler1439,Needs Analysis,1648300,0.2,329660,Existing Business,Partner,Pipeline,Marketing,9/27/2029,Open,9/27/2023
0068d000009MW8GAAW,Opportunity for Collins378,Closed Won,446850,1,446850,New Business,Employee Referral,Closed,AE,10/25/2028,Won,10/25/2022
0068d000009MW8KAAW,Opportunity for May386,Closed Won,150240,1,150240,New Business,Employee Referral,Closed,Marketing,7/17/2029,Won,7/17/2023
0068d000009MW8LAAW,Opportunity for Hart387,Needs Analysis,822800,0.2,164560,New Business / Add-on,Word of mouth,Pipeline,Alliances,1/6/2030,Open,1/6/2022
0068d000009MW8MAAW,Opportunity for Perry395,Closed Won,237840,1,237840,New Business,Partner,Closed,Alliances,7/19/2029,Won,7/19/2023
0068d000009MW8OAAW,Opportunity for Nunez399,Prospecting,844100,0.1,84410,New Business / Add-on,Advertisement,Pipeline,Marketing,10/25/2029,Open,10/25/2023
0068d000009MW8PAAW,Opportunity for Goodwin400,Closed Won,175770,1,175770,New Business / Add-on,Partner,Closed,BDR,3/19/2029,Won,3/19/2023
0068d000009MW8QAAW,Opportunity for Diaz177,Closed Won,130515,1,130515,New Business,Trade Show,Closed,Marketing,1/21/2029,Won,1/21/2023
0068d000009MW8RAAW,Opportunity for Shaw178,Closed Lost,283440,0,0,New Business,Word of mouth,Omitted,Marketing,6/14/2029,Lost,6/14/2023
0068d000009MW8SAAW,Opportunity for Lambert182,Value Proposition,1750200,0.5,875100,New Business / Add-on,Word of mouth,Pipeline,Marketing,8/24/2029,Open,8/24/2023
0068d000009MW8TAAW,Opportunity for Blair183,Needs Analysis,2598300,0.2,519660,New Business,Word of mouth,Pipeline,BDR,12/11/2029,Open,12/11/2023
0068d000009MW8UAAW,Opportunity for Barber186,Qualification,2340210,0.1,234021,New Business,Advertisement,Pipeline,BDR,11/27/2029,Open,11/27/2023
0068d000009MW8VAAW,Opportunity for Owens189,Closed Lost,1755885,0,0,New Business,Word of mouth,Omitted,Marketing,1/3/2029,Lost,1/3/2023
0068d000009MW8ZAAW,Opportunity for Frazier196,Perception Analysis,164700,0.7,115290,New Business / Add-on,Trade Show,BestCase,Marketing,2/5/2030,Open,2/5/2022
0068d000009MWAnAAO,Opportunity for Joseph722,Value Proposition,327145,0.5,163572.5,Existing Business,Partner,Pipeline,BDR,1/31/2030,Open,1/31/2022
0068d000009MWAoAAO,Opportunity for Silva728,Perception Analysis,1641600,0.7,1149120,Existing Business,Web,BestCase,Marketing,8/30/2029,Open,8/30/2023
0068d000009MWApAAO,Opportunity for Simpson729,Prospecting,1666850,0.1,166685,New Business,Employee Referral,Pipeline,AE,10/22/2029,Open,10/22/2023
0068d000009MWAqAAO,Opportunity for Moss732,Closed Won,461458,1,461458,Existing Business,Trade Show,Closed,Marketing,9/26/2028,Won,9/26/2022
0068d000009MWArAAO,Opportunity for Pope1093,Closed Won,1134385,1,1134385,New Business,Employee Referral,Closed,BDR,1/11/2029,Won,1/11/2023
0068d000009MWAjAAO,Opportunity for Freeman717,Value Proposition,1023320,0.5,511660,Existing Business,Word of mouth,Pipeline,Marketing,10/10/2029,Open,10/10/2023
0068d000009MWAkAAO,Opportunity for Ross718,Closed Won,776540,1,776540,New Business / Add-on,Partner,Closed,Marketing,12/3/2028,Won,12/3/2022
0068d000009MWAmAAO,Opportunity for Reeves721,Closed Won,2367210,1,2367210,New Business / Add-on,Advertisement,Closed,BDR,3/28/2029,Won,3/28/2023
0068d000009MWCkAAO,Opportunity for Medina1531,Closed Lost,1722250,0,0,New Business / Add-on,Employee Referral,Omitted,Marketing,5/16/2029,Lost,5/16/2023
0068d000009MWClAAO,Opportunity for Hill1534,Closed Won,3298750,1,3298750,New Business / Add-on,Trade Show,Closed,AE,11/12/2028,Won,11/12/2022
0068d000009MWEkAAO,Opportunity for Malone1973,Value Proposition,108630,0.5,54315,New Business / Add-on,Trade Show,Pipeline,Alliances,9/15/2029,Open,9/15/2023
0068d000009MWElAAO,Opportunity for Glover1974,Closed Won,48440,1,48440,Existing Business,Partner,Closed,AE,6/12/2028,Won,6/12/2022
0068d000009MWEmAAO,Opportunity for Santiago1975,Prospecting,122200,0.1,12220,New Business,Seminar - Internal,Pipeline,AE,11/10/2029,Open,11/10/2023
0068d000009MWEpAAO,Opportunity for Tucker470,Negotiation/Review,2254450,0.9,2029005,Existing Business,Web,Forecast,AE,9/25/2029,Open,9/25/2023
0068d000009MWEqAAO,Opportunity for Norman472,Closed Won,2807700,1,2807700,New Business,Public Relations,Closed,Alliances,6/8/2029,Won,6/8/2023
0068d000009MWErAAO,Opportunity for Hammond475,Closed Won,3469300,1,3469300,New Business,Word of mouth,Closed,AE,11/1/2028,Won,11/1/2022
0068d000009MWEsAAO,Opportunity for Harrison476,Closed Won,2276590,1,2276590,New Business,Trade Show,Closed,BDR,4/3/2029,Won,4/3/2023
0068d000009MWEtAAO,Opportunity for Stokes477,Closed Won,328949,1,328949,New Business,Employee Referral,Closed,Marketing,8/8/2029,Won,8/8/2023
0068d000009MWHWAA4,Opportunity for Henry1658,Closed Lost,327600,0,0,New Business,Web,Omitted,BDR,1/5/2029,Lost,1/5/2023
0068d000009MWHXAA4,Opportunity for Jackson1662,Closed Won,2302000,1,2302000,New Business,Seminar - Internal,Closed,Marketing,12/21/2028,Won,12/21/2022
0068d000009MWHYAA4,Opportunity for Henry1665,Closed Won,49760,1,49760,New Business / Add-on,Advertisement,Closed,BDR,7/13/2029,Won,7/13/2023
0068d000009MWHZAA4,Opportunity for Barton1670,Prospecting,364760,0.1,36476,New Business / Add-on,Employee Referral,Pipeline,Marketing,12/14/2029,Open,12/14/2023
0068d000009MWHaAAO,Opportunity for Ramsey1673,Needs Analysis,3351780,0.2,670356,New Business,Employee Referral,Pipeline,Marketing,9/24/2029,Open,9/24/2023
0068d000009MWHbAAO,Opportunity for Taylor1674,Closed Won,1542350,1,1542350,New Business,Seminar - Internal,Closed,BDR,8/16/2029,Won,8/16/2023
0068d000009MWHcAAO,Opportunity for Johnston1675,Closed Won,804275,1,804275,New Business / Add-on,Web,Closed,AE,7/15/2029,Won,7/15/2023
0068d000009MWLtAAO,Opportunity for Carlson1808,Closed Won,965700,1,965700,New Business,Word of mouth,Closed,Alliances,8/4/2028,Won,8/4/2022
0068d000009MWLuAAO,Opportunity for Fleming1809,Closed Won,3077200,1,3077200,New Business,Word of mouth,Closed,AE,7/13/2029,Won,7/13/2023
0068d000009MWLwAAO,Opportunity for Daniel1811,Closed Won,207240,1,207240,Existing Business,Public Relations,Closed,Marketing,2/19/2029,Won,2/19/2023
